"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","","","","","",""
"","","","","","Type ","","","","","","","","","","","","","","","","","","","","","","","",""," Rp 2.993.792 ","","","","","","Hedge Fund Standard","","",""
"","Code","","Sectoral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.400","","","","","","","","",""
"92","","PRDL",""," Rp -   "," Swing Trade"," Rp 1.104.985 ","  3.100 ","0,15%","  356 ","▼-Rp 323.785 ","▼-29,30%"," Rp - ","▼-Rp 323.785 "," Rp 1.104.985 ","  3.100 ","0,15%","356","▼-Rp 323.785 ","▼-29,30%"," Rp - ","▼-Rp 323.785 "," Rp - ","  - "," Rp - ","▲ Rp 0 ","252","  530 ","  162 ","▼-110,32%","109,62%"," Rp 13.178 ","  100 "," Rp 12.022 ","","▼-Rp 310.607 "," Growth Swing","▲ Rp 1.104.985 ","▼-Rp 323.785 ",""
"93","","GMFI"," Infrastructures",""," Swing Trade"," Rp 773.390 ","  12.000 ","0,10%","  64 ","▼-Rp 65.390 ","▼-8,45%"," Rp - ","▼-Rp 65.390 "," Rp 773.390 ","  12.000 ","0,10%","64","▼-Rp 65.390 ","▼-8,45%"," Rp - ","▼-Rp 65.390 "," Rp - ","  - "," Rp - ","▲ Rp 0 ","59","  105 ","  35 ","▼-77,97%","0,00%"," Rp -   ","  - "," Rp -   ","","▼-Rp 65.390 "," Growth Swing","▲ Rp 773.390 ","▼-Rp 65.390 ",""
"","","","","  -   ","21","  751.534.242 ","  461.000 ","100%","  1.630 ","▼-Rp 262.262.542 ","▼-34,90%","▲ Rp 102.610.491 ","▼-Rp 262.262.542 "," Rp 683.127.405 ","  461.000 ","91%","","▼-Rp 193.855.705 ","-25,79%","▲ Rp 30.423.432 ","▼-Rp 162.072.606 ","▲ Rp 68.406.837 ","  -   ","▼-Rp 72.780.289 ","▲ Rp 100.189.936 ","","","","","","▲ Rp 3.535.425 ","3,77%","  28.340.909 ","","▼-Rp 156.116.626 ","","▲ Rp 751.534.242 ","▼-Rp 262.262.542 ","▲ Rp 489.271.700 "
"","Details","","Realisasi","","Target (Rp)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Big Bank","  244.606.477 ","30%","  229.065.013 ","- 15.541.465 ","▼-6,35%","▼-Rp 71.245.477 ","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","",""
"","","Consumer Defensive","  96.195.984 ","20%","  152.710.008 ","  56.514.024 ","▲58,75%","▼-Rp 62.334.984 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Energy / Commodity","  198.401.926 ","25%","  190.887.510 ","- 7.514.416 ","▼-3,79%","▼-Rp 60.303.426 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Fast Trading","  33.676.341 ","5%","  38.177.502 ","  4.501.161 ","▲13,37%","▼-Rp 6.311.341 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Growth Swing","  176.775.139 ","10%","  76.355.004 ","- 100.420.134 ","▼-56,81%","▼-Rp 61.678.139 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Cash","  13.894.175 ","10%","  76.355.004 ","  62.460.829 ","▲449,55%"," Rp - ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","","  763.550.042 ","100%","  763.550.042 ","  0 ","▲0,00%","▼-Rp 261.873.367 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
