"","","3","4","5","6","7","8","9","10","11","12","13","14","16","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120"
"EPS 2019","4","278,53","350,67","657,58","112,41","968,94","27,70","32,08","64,81","53,87","8,07","230,62","5.655,15","189,05","189,05","91,79","976,80","181,73","279,00","228,07","831,64","2.985,15","1.158,79","609,77","-255,56","19,74","55,52","169,51","221,49","27,42","175,11","-10,49","45,96","672,29","697,13","43,98","80,31","69,22","0,56","66,60","30,00","1.556,74","160,66","285,76","7,62","399,73","42,49","243,12","70,12","33,59","59,71","2,15","18,45","15,48","16,26","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"EPS 2020","5","298,43","209,02","458,73","231,38","938,93","27,99","24,47","-123,75","31,13","47,81","279,72","3.974,87","68,91","68,91","99,16","1.436,70","110,99","151,28","278,49","178,08","1.509,86","1.101,07","378,13","-9,77","151,27","64,79","-7,88","234,54","26,19","239,62","-98,07","636,17","996,76","747,21","18,36","115,84","73,97","-29,82","34,75","-115,94","465,52","85,45","-5,79","25,05","450,81","17,05","140,33","-35,24","32,61","42,62","2,20","40,21","18,34","25,25","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"EPS 2021","6","342,69","697,62","632,01","385,52","150,93","14,83","29,33","214,71","42,03","77,48","67,59","2.913,07","459,14","459,14","101,43","5.422,50","190,17","202,93","16,54","588,62","2.843,86","255,04","654,66","606,39","224,36","95,60","131,75","220,70","47,88","282,71","35,57","6,77","1.276,02","1.373,61","20,83","238,22","112,65","13,09","120,31","126,24","6.007,48","181,72","120,01","73,62","356,91","38,12","80,69","29,52","68,80","41,11","45,25","121,57","23,16","79,96","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"EPS 2022","7","279,42","1.109,22","998,43","67,52","140,63","25,27","47,95","258,15","36,83","159,00","68,55","1.444,84","1.380,07","1.380,07","102,76","1.076,61","231,06","339,19","21,41","991,06","6.164,39","330,61","963,26","1.556,89","287,54","76,79","305,83","17,87","69,98","617,48","342,06","490,66","1.046,99","244,38","41,93","314,50","108,01","219,85","104,71","98,82","165,50","127,15","320,20","9,23","421,31","53,51","411,52","150,90","33,91","39,30","5,38","-130,60","0,23","138,05","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"EPS 2023","8","325,13","546,24","1.099,24","53,73","125,85","25,13","61,00","239,88","31,70","128,09","64,77","2.767,54","895,30","895,30","97,90","592,65","140,32","398,69","24,06","565,89","5.932,76","394,71","643,41","518,45","330,59","69,91","417,66","141,36","83,87","153,34","212,36","725,87","1.309,05","1.161,03","3,61","426,21","102,99","41,85","119,93","878,92","6.827,00","80,67","929,89","123,65","387,08","73,34","485,55","141,27","55,43","44,55","1,65","-27,31","26,52","106,70","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"EPS 2024","9","301,22","489,99","1.072,63","17,18","88,31","27,70","60,08","280,30","39,03","102,33","64,82","2.767,54","786,03","786,03","86,91","457,26","109,95","406,27","25,29","580,98","1.287,89","444,95","678,90","73,40","233,07","23,37","457,91","123,80","89,19","140,43","224,26","834,17","0,00","0,00","0,00","0,00","0,00","0,00","152,37","970,20","0,00","0,00","0,00","151,88","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"EPS 2025","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total Dividen (5 years)","B60 x B24"," Rp 1.298,84 "," Rp 4.726,46 "," Rp 2.246,78 "," Rp 474,58 "," Rp 5.917,69 "," Rp 224,21 "," Rp 46,12 "," Rp 622,03 "," Rp 289,39 "," Rp 164,03 "," Rp 524,08 "," Rp 22.051,94 "," Rp 1.777,64 "," Rp 1.777,64 "," Rp 424,67 "," Rp 27.228,04 "," Rp 492,48 "," Rp 2.503,42 "," Rp 393,83 "," Rp 2.248,38 "," Rp 25.523,98 "," Rp 4.008,17 "," Rp 2.761,03 "," Rp 8.987,05 "," Rp 998,13 "," Rp 553,67 ","-Rp 971,08 "," Rp 1.607,92 "," Rp 109,94 "," Rp 1.410,33 "," Rp 185,94 "," Rp 16.535,88 "," Rp 2.103,87 "," Rp 598,05 ",""," Rp 187,25 "," Rp 75,67 "," Rp 36,18 "," Rp 105,54 "," Rp 8.517,44 "," Rp 55.487,52 "," Rp 444,61 "," Rp 521,88 "," Rp 36,15 "," Rp 1.717,11 "," Rp 70,81 ",""," Rp 196,94 "," Rp 39,19 "," Rp 175,33 ",""," Rp 10.187,87 "," Rp 68,20 "," Rp 59,92 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future stock price","B52"," Rp 22.423,72 "," Rp 3.862,95 "," Rp 12.740,75 "," Rp 740,94 "," Rp 415,04 "," Rp 98,06 "," Rp 32.766,99 "," Rp 1.629,03 "," Rp 704,95 "," Rp 1.684,28 "," Rp 4.801,06 "," Rp 83.313,22 "," Rp 4.331,98 "," Rp 4.331,98 "," Rp 1.315,11 "," Rp 167,30 "," Rp 6.816,48 "," Rp 6.059,99 "," Rp 921,02 "," Rp 7.280,33 "," Rp 49.869,47 "," Rp 14.817,43 "," Rp 10.009,36 "," Rp 9,82 "," Rp 2.327,12 "," Rp 3.873,58 "," Rp 3.344,42 "," Rp 17.957,73 "," Rp 72.634,72 "," Rp 7.379,27 "," Rp 97,56 "," Rp 88,25 ","","","","","",""," Rp 436,02 "," Rp 658,94 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future stock price + dividen","B69+B70"," Rp 23.722,56 "," Rp 8.589,41 "," Rp 14.987,53 "," Rp 1.215,51 "," Rp 6.332,72 "," Rp 322,27 "," Rp 32.813,11 "," Rp 2.251,06 "," Rp 994,34 "," Rp 1.848,30 "," Rp 5.325,14 "," Rp 105.365,16 "," Rp 6.109,63 "," Rp 6.109,63 "," Rp 1.739,77 "," Rp 27.395,34 "," Rp 7.308,96 "," Rp 8.563,41 "," Rp 1.314,86 "," Rp 9.528,71 "," Rp 75.393,45 "," Rp 18.825,59 "," Rp 12.770,39 "," Rp 8.996,87 "," Rp 3.325,25 "," Rp 4.427,25 "," Rp 2.373,34 "," Rp 19.565,65 "," Rp 72.744,66 "," Rp 8.789,60 "," Rp 283,50 "," Rp 16.624,14 ","","","","","",""," Rp 541,56 "," Rp 9.176,38 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STEP 7 - Hitung expected rate return from menggunakan average ROE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expected Rate of Return ROE","POWER((B70/B4);(1/5))-1","5,56%","14,55%","13,49%","10,67%","15,33%","5,50%","46,90%","4,54%","12,23%","-5,78%","31,40%","20,60%","41,31%","9,63%","14,36%","7,26%","24,94%","11,60%","12,38%","10,82%","13,56%","12,59%","13,00%","45,28%","11,63%","10,02%","-3,92%","22,89%","55,86%","22,99%","-15,99%","8,54%","","","","","","","-16,59%","15,39%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Future stock price",""," Rp 23.722,56 "," Rp 8.589,41 "," Rp 14.987,53 "," Rp 1.215,51 "," Rp 6.332,72 "," Rp 322,27 "," Rp 32.813,11 "," Rp 1.970,53 "," Rp 994,34 "," Rp 1.848,30 "," Rp 5.325,14 "," Rp 105.365,16 "," Rp 6.109,63 "," Rp 6.109,63 "," Rp 1.739,77 "," Rp 27.395,34 "," Rp 7.308,96 "," Rp 8.563,41 "," Rp 1.314,86 "," Rp 9.528,71 "," Rp 75.393,45 "," Rp 18.825,59 "," Rp 12.770,39 "," Rp 8.996,87 "," Rp 3.325,25 "," Rp 4.427,25 "," Rp 2.373,34 "," Rp 19.565,65 "," Rp 72.744,66 "," Rp 8.789,60 "," Rp 283,50 "," Rp 16.624,14 ","","","","","",""," Rp 541,56 "," Rp 9.176,38 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Target ROE minimum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PILIH - BEST CASE","15%","6.743,4","2.441,6","4.260,4","345,5","1.800,2","91,6","9.327,5","560,1","282,7","525,4","1.513,7","29.951,4","1.736,7","1.736,7","494,6","7.787,5","2.077,7","2.434,3","373,8","2.708,7","21.431,5","5.351,4","3.630,1","2.557,5","945,2","1.258,5","674,7","5.561,8","20.678,6","2.498,6","80,6","4.725,6","","","","","","","153,9","2.608,5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PILIH","12%","8.554,6","3.097,4","5.404,7","438,3","2.283,6","116,2","11.832,7","710,6","358,6","666,5","1.920,3","37.995,7","2.203,2","2.203,2","627,4","9.879,0","2.635,7","3.088,1","474,2","3.436,1","27.187,6","6.788,7","4.605,1","3.244,4","1.199,1","1.596,5","855,8","7.055,6","26.232,5","3.169,6","102,2","5.994,8","","","","","","","195,3","3.309,1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNQUALIFIED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STEP 8 - Hitung nilai wajar saham","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expected rate return ROE minimum","","15%","15%","15%","15%","15%","15%","12%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%","15%"
"Limit Buy at","Harga Saham Wajar (Rp/Lot)","6.743,43","2.441,65","4.260,39","345,52","1.800,15","91,61","26.158,41","560,15","282,65","525,40","1.513,74","29.951,35","1.736,74","1.736,74","494,55","7.787,46","2.077,66","2.434,26","373,76","2.708,65","21.431,52","5.351,41","3.630,14","2.557,47","945,24","1.258,50","674,65","5.561,78","20.678,57","2.498,55","80,59","4.725,62","","","","","","","153,94","2.608,50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Discount level  Current Price with limit Buy","","-116,14%","-3,62%","-12,67%","-41,23%","2,51%","-117,23%","96,06%","-169,57%","-24,53%","-501,44%","69,88%","34,81%","84,34%","-53,74%","-5,15%","-87,16%","52,59%","-31,05%","-23,07%","-39,55%","-11,98%","-21,00%","-17,08%","87,80%","-30,65%","-48,99%","-403,96%","44,98%","93,52%","45,37%","-1587,58%","-68,23%","","","","","","","-1699,36%","3,01%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STEP 9 - Hitung Analisa Portofolio dengan MOS dan Fair Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Margin on Safety (MOS)","MoS = 1 - (Current Price /Fair Value)","▼-116,14%","▼-3,62%","▼-12,67%","▼-41,23%","▲2,51%","▼-117,23%","▲96,06%","▼-169,57%","▼-24,53%","▼-501,44%","▲69,88%","▲34,81%","▲84,34%","▼-53,74%","▼-5,15%","▼-87,16%","▲52,59%","▼-31,05%","▼-23,07%","▼-39,55%","▼-11,98%","▼-21,00%","▼-17,08%","▲87,80%","▼-30,65%","▼-48,99%","▼-403,96%","▲44,98%","▲93,52%","▲45,37%","▼-1.587,58%","▼-68,23%","","","","","","","▼-1.699,36%","▲3,01%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Market Value - Margin on Safety (MOS)","Portofolio Sudah Mencapai = n dari FV","216,14%","103,62%","112,67%","141,23%","97,49%","217,23%","3,94%","269,57%","124,53%","601,44%","30,12%","65,19%","15,66%","153,74%","105,15%","187,16%","47,41%","131,05%","123,07%","139,55%","111,98%","121,00%","117,08%","12,20%","130,65%","148,99%","503,96%","55,02%","6,48%","54,63%","1687,58%","168,23%","","","","","","","1799,36%","96,99%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STEP 10 - Aksi Saat Trading","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Action on Trading Plan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PETER LYNCH VALUATION (PEG RATIO)","","37,30","-0,21","0,05","-2,23","-1,09","2,99","2,86","0,42","17,54","0,29","-1,32","-0,24","0,02","0,02","2,87","43,65","6,18","-0,30","-3,26","-2,27","-2,30","-0,72","1,88","1,72","-4,06","-73,73","0,06","-30,25","1,73","-1,31","-0,20","0,18","","","","","","","0,60","0,10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EPS GROWTH (%)","","0,45%","-6,28%","10,08%","-16,84%","-22,12%","6,49%","11,02%","5,64%","2,21%","49,73%","-15,60%","-2,48%","20,84%","20,84%","2,63%","22,69%","1,63%","-10,14%","-30,69%","-0,57%","-0,67%","-6,78%","0,87%","5,94%","-0,66%","-8,01%","18,39%","-1,01%","23,51%","-6,65%","-12,61%","11,57%","-100,00%","-100,00%","-100,00%","-100,00%","-100,00%","-100,00%","17,71%","17,07%","-100,00%","-100,00%","-100,00%","","-100,00%","-100,00%","","-100,00%","-100,00%","-100,00%","-100,00%","-100,00%","","-100,00%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS/EPS","","0,17","0,01","0,01","0,38","0,24","0,19","0,32","0,02","0,39","0,14","0,21","0,01","0,00","0,00","0,08","9,90","0,10","0,03","1,00","0,01","0,02","0,05","0,02","0,10","0,03","5,91","0,01","0,31","0,41","0,09","0,03","0,02","","","","","","","0,11","0,02","","","","0,12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
